ID	Name	Age	Nationality	Overall	Potential	Club
158023	L. Messi	31	Argentina	94	94	FC Barcelona
20801	Cristiano Ronaldo	33	Portugal	94	94	Juventus
190871	Neymar Jr	26	Brazil	92	93	Paris Saint-Germain
193080	De Gea	27	Spain	91	93	Manchester United
192985	K. De Bruyne	27	Belgium	91	92	Manchester City
183277	E. Hazard	27	Belgium	91	91	Chelsea
177003	L. Modri?	32	Croatia	91	91	Real Madrid
176580	L. Suárez	31	Uruguay	91	91	FC Barcelona
155862	Sergio Ramos	32	Spain	91	91	Real Madrid
200389	J. Oblak	25	Slovenia	90	93	Atlético Madrid
188545	R. Lewandowski	29	Poland	90	90	FC Bayern München
182521	T. Kroos	28	Germany	90	90	Real Madrid
182493	D. Godín	32	Uruguay	90	90	Atlético Madrid
168542	David Silva	32	Spain	90	90	Manchester City
215914	N. Kanté	27	France	89	90	Chelsea
211110	P. Dybala	24	Argentina	89	94	Juventus
202126	H. Kane	24	England	89	91	Tottenham Hotspur
194765	A. Griezmann	27	France	89	90	Atlético Madrid
192448	M. ter Stegen	26	Germany	89	92	FC Barcelona
192119	T. Courtois	26	Belgium	89	90	Real Madrid
189511	Sergio Busquets	29	Spain	89	89	FC Barcelona
179813	E. Cavani	31	Uruguay	89	89	Paris Saint-Germain
167495	M. Neuer	32	Germany	89	89	FC Bayern München
153079	S. Agüero	30	Argentina	89	89	Manchester City
138956	G. Chiellini	33	Italy	89	89	Juventus
231747	K. Mbappé	19	France	88	95	Paris Saint-Germain
209331	M. Salah	26	Egypt	88	89	Liverpool
200145	Casemiro	26	Brazil	88	90	Real Madrid
198710	J. Rodríguez	26	Colombia	88	89	FC Bayern München
198219	L. Insigne	27	Italy	88	88	Napoli
197781	Isco	26	Spain	88	91	Real Madrid
190460	C. Eriksen	26	Denmark	88	91	Tottenham Hotspur
189242	Coutinho	26	Brazil	88	89	FC Barcelona
188567	P. Aubameyang	29	Gabon	88	88	Arsenal
178603	M. Hummels	29	Germany	88	88	FC Bayern München
176676	Marcelo	30	Brazil	88	88	Real Madrid
173731	G. Bale	28	Wales	88	88	Real Madrid
167948	H. Lloris	31	France	88	88	Tottenham Hotspur
167664	G. Higuaín	30	Argentina	88	88	Milan
164240	Thiago Silva	33	Brazil	88	88	Paris Saint-Germain
162835	S. Handanovi?	33	Slovenia	88	88	Inter
1179	G. Buffon	40	Italy	88	88	Paris Saint-Germain
205600	S. Umtiti	24	France	87	92	FC Barcelona
201399	M. Icardi	25	Argentina	87	90	Inter
201024	K. Koulibaly	27	Senegal	87	90	Napoli
195864	P. Pogba	25	France	87	91	Manchester United
193041	K. Navas	31	Costa Rica	87	87	Real Madrid
192505	R. Lukaku	25	Belgium	87	89	Manchester United
192387	C. Immobile	28	Italy	87	87	Lazio
189332	Jordi Alba	29	Spain	87	87	FC Barcelona
175943	D. Mertens	31	Belgium	87	87	Napoli
172871	J. Vertonghen	31	Belgium	87	87	Tottenham Hotspur
171877	M. Hamšík	30	Slovakia	87	87	Napoli
168651	I. Rakiti?	30	Croatia	87	87	FC Barcelona
152729	Piqué	31	Spain	87	87	FC Barcelona
222492	L. Sané	22	Germany	86	92	Manchester City
218667	Bernardo Silva	23	Portugal	86	91	Manchester City
210257	Ederson	24	Brazil	86	90	Manchester City
208722	S. Mané	26	Senegal	86	87	Liverpool
203376	V. van Dijk	26	Netherlands	86	88	Liverpool
202652	R. Sterling	23	England	86	89	Manchester City
201942	Roberto Firmino	26	Brazil	86	87	Liverpool
201535	R. Varane	25	France	86	91	Real Madrid
199556	M. Verratti	25	Italy	86	89	Paris Saint-Germain
191043	Alex Sandro	27	Brazil	86	86	Juventus
190483	Douglas Costa	27	Brazil	86	86	Juventus
189596	T. Müller	28	Germany	86	86	FC Bayern München
189509	Thiago	27	Spain	86	86	FC Bayern München
188350	M. Reus	29	Germany	86	86	Borussia Dortmund
184432	Azpilicueta	28	Spain	86	86	Chelsea
184344	L. Bonucci	31	Italy	86	86	Juventus
184087	T. Alderweireld	29	Belgium	86	87	Tottenham Hotspur
180206	M. Pjani?	28	Bosnia Herzegovina	86	86	Juventus
177509	M. Benatia	31	Morocco	86	86	Juventus
176635	M. Özil	29	Germany	86	86	Arsenal
135507	Fernandinho	33	Brazil	86	86	Manchester City
41	Iniesta	34	Spain	86	86	Vissel Kobe
232363	M. Škriniar	23	Slovakia	85	92	Inter
223848	S. Milinkovi?-Savi?	23	Serbia	85	90	Lazio
220834	Marco Asensio	22	Spain	85	92	Real Madrid
216594	N. Fekir	24	France	85	89	Olympique Lyonnais
212831	Alisson	25	Brazil	85	90	Liverpool
212622	J. Kimmich	23	Germany	85	88	FC Bayern München
208421	Saúl	23	Spain	85	90	Atlético Madrid
204485	R. Mahrez	27	Algeria	85	85	Manchester City
197445	D. Alaba	26	Austria	85	87	FC Bayern München
193747	Koke	26	Spain	85	86	Atlético Madrid
193301	A. Lacazette	27	France	85	86	Arsenal
192774	K. Manolas	27	Greece	85	87	Roma
192366	N. Otamendi	30	Argentina	85	85	Manchester City
189513	Parejo	29	Spain	85	85	Valencia CF
187961	Paulinho	29	Brazil	85	85	Guangzhou Evergrande Taobao FC
186153	W. Szcz?sny	28	Poland	85	87	Juventus
184941	A. Sánchez	29	Chile	85	85	Manchester United
184267	Y. Brahimi	28	Algeria	85	85	FC Porto
183907	J. Boateng	29	Germany	85	85	FC Bayern München
181872	A. Vidal	31	Chile	85	85	FC Barcelona
181458	I. Periši?	29	Croatia	85	85	Inter
180930	E. Džeko	32	Bosnia Herzegovina	85	85	Roma
179846	S. Khedira	31	Germany	85	85	Juventus
179844	Diego Costa	29	Spain	85	85	Atlético Madrid
178518	R. Nainggolan	30	Belgium	85	85	Inter
171919	Naldo	35	Brazil	85	85	FC Schalke 04
170890	B. Matuidi	31	France	85	85	Juventus
168609	Miranda	33	Brazil	85	85	Inter
165153	K. Benzema	30	France	85	85	Real Madrid
164169	Filipe Luís	32	Brazil	85	85	Atlético Madrid
139720	V. Kompany	32	Belgium	85	85	Manchester City
120533	Pepe	35	Portugal	85	85	Be?ikta? JK
41236	Z. Ibrahimovi?	36	Sweden	85	85	LA Galaxy
220793	D. Sánchez	22	Colombia	84	88	Tottenham Hotspur
216460	J. Giménez	23	Uruguay	84	88	Atlético Madrid
212462	Alex Telles	25	Brazil	84	87	FC Porto
212218	A. Laporte	24	France	84	88	Manchester City
212198	Bruno Fernandes	23	Portugal	84	88	Sporting CP
212190	N. Süle	22	Germany	84	90	FC Bayern München
211300	A. Martial	22	France	84	90	Manchester United
211117	D. Alli	22	England	84	90	Tottenham Hotspur
209499	Fabinho	24	Brazil	84	88	Liverpool
207865	Marquinhos	24	Brazil	84	89	Paris Saint-Germain
207566	William Carvalho	26	Portugal	84	86	Real Betis
205498	Jorginho	26	Italy	84	87	Chelsea
204970	F. Thauvin	25	France	84	87	Olympique de Marseille
204963	Carvajal	26	Spain	84	87	Real Madrid
202556	M. Depay	24	Netherlands	84	89	Olympique Lyonnais
200104	H. Son	25	Korea Republic	84	85	Tottenham Hotspur
199482	A. Lopes	27	Portugal	84	86	Olympique Lyonnais
198176	S. de Vrij	26	Netherlands	84	86	Inter
198009	M. Perin	25	Italy	84	89	Juventus
193082	J. Cuadrado	30	Colombia	84	84	Juventus
192629	Iago Aspas	30	Spain	84	84	RC Celta
192563	B. Leno	26	Germany	84	87	Arsenal
191202	N. Mati?	29	Serbia	84	84	Manchester United
190941	L. Hrádecký	28	Finland	84	84	Bayer 04 Leverkusen
190584	Illarramendi	28	Spain	84	84	Real Sociedad
188377	K. Walker	28	England	84	84	Manchester City
186942	I. Gündo?an	27	Germany	84	84	Manchester City
185020	José Callejón	31	Spain	84	84	Napoli
183898	A. Di María	30	Argentina	84	84	Paris Saint-Germain
181783	M. Mandžuki?	32	Croatia	84	84	Juventus
180403	Willian	29	Brazil	84	84	Chelsea
178750	Sergio Asenjo	29	Spain	84	85	Villarreal CF
178562	E. Banega	30	Argentina	84	84	Sevilla FC
177413	A. Witsel	29	Belgium	84	84	Borussia Dortmund
177388	D. Payet	31	France	84	84	Olympique de Marseille
176769	Jonas	34	Brazil	84	84	SL Benfica
172879	Sokratis	30	Greece	84	84	Arsenal
167628	S. Ruffier	31	France	84	84	AS Saint-Étienne
167397	Falcao	32	Colombia	84	84	AS Monaco
163587	K. Schmeichel	31	Denmark	84	84	Leicester City
157481	Raúl Albiol	32	Spain	84	84	Napoli
143076	A. Gómez	30	Argentina	84	84	Atalanta
137186	A. Barzagli	37	Italy	84	84	Juventus
20775	Quaresma	34	Portugal	84	84	Be?ikta? JK
9014	A. Robben	34	Netherlands	84	84	FC Bayern München
231443	O. Dembélé	21	France	83	92	FC Barcelona
230666	Gabriel Jesus	21	Brazil	83	92	Manchester City
230481	Ronaldo Cabrais	26	Brazil	83	83	Grêmio
230375	Josué Chiamulera	26	Brazil	83	83	Grêmio
230294	Louri Beretta	26	Brazil	83	83	Atlético Mineiro
225850	P. Kimpembe	22	France	83	89	Paris Saint-Germain
220971	N. Keïta	23	Guinea	83	88	Liverpool
219683	C. Tolisso	23	France	83	88	FC Bayern München
213565	T. Lemar	22	France	83	89	Atlético Madrid
213345	K. Coman	22	France	83	87	FC Bayern München
213331	J. Tah	22	Germany	83	88	Bayer 04 Leverkusen
